,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9,Comp.10,Comp.11,Comp.12,Comp.13,Comp.14,Comp.15,Comp.16,Comp.17,Comp.18,Comp.19,Comp.20,Comp.21,Comp.22,Comp.23,Comp.24,Comp.25,Comp.26,Comp.27,Comp.28,Comp.29,Comp.30,Comp.31,Comp.32,Comp.33,Comp.34,Comp.35,Comp.36,Comp.37,Comp.38,Comp.39,Comp.40,Comp.41,Comp.42,Comp.43,Comp.44
loan_amnt,-0.247236759,0.094110596,0.128404871,-0.009123438,-0.070311686,0.124263719,-0.048356384,0.398108361,-0.275785708,0.024277227,0.134796001,0.007900316,-0.075127227,0.029215114,-0.017886055,-0.015080358,-0.04803683,0.002024459,0.035930291,0.000971407,0.0004851,0.062924129,-0.095790541,-0.011063314,-0.00860067,-0.032685093,-0.008465473,-0.001344698,-0.029947145,-0.056107981,0.041061838,0.28249698,0.311341921,0.09780767,0.019731782,0.012222358,-0.007848981,-0.009741662,0.005164483,0.002646433,-0.037232629,0.646561687,-0.005798553,0.00202881
annual_inc,-0.191459757,0.146489529,-0.00582,-0.002814966,0.057803808,0.01179699,0.04850464,0.093087684,-0.010553975,0.009586904,0.037868927,-0.020796165,-0.031759545,-0.118240973,0.087973917,0.05990974,0.136386768,0.066064572,-0.285295677,0.093711213,0.053179551,0.269165463,0.331515185,0.732497317,0.147507783,0.134130668,-0.057100902,0.041761306,0.029053631,0.055870252,-0.041723462,-0.050765742,-0.096174536,0.006571468,-0.035728571,0.007443235,-0.001340353,-0.006997839,-0.016104181,-0.001809309,-0.009012149,-0.004209653,-0.002638784,8.46E-05
dti,-0.018277122,-0.016309994,-0.013866851,-0.017958878,-0.071818379,0.049504684,-0.116203342,-0.069917036,0.001646003,0.012849508,-0.087562716,-0.027254292,-0.057764334,-0.119906856,-0.338616777,-0.90500864,0.02478509,-0.032615686,-0.04619283,0.00067724,0.022545442,0.054290794,0.00491012,0.066785196,0.015051176,0.008250714,-0.020993841,0.005940042,-0.010629042,0.001811514,0.000402688,0.00509983,0.00279118,0.002104842,-0.00796239,-0.011337408,-0.000376066,-0.004195361,-7.23E-05,0.000153361,-0.001107711,-0.000545389,-0.001297419,0.000244712
delinq_2yrs,-0.015300194,0.066478683,-0.077439111,0.0823109,0.024487536,0.037836977,0.016591705,-0.183800648,-0.290836684,-0.466553681,0.021068131,0.279856973,0.008400786,-0.037856391,0.045902677,-0.000582403,-0.018648412,-0.335680682,-0.1148476,0.0047026,0.030369906,0.308287384,0.199425155,-0.123544551,-0.395979113,0.097857092,0.088020818,-0.29026608,0.005132905,-0.069095914,0.066775222,-0.020436237,0.011754761,-0.023336046,0.024662724,-0.00406816,-0.035416298,-0.03440258,0.003903577,0.034270282,-0.107568388,-0.007086775,0.00156057,-0.000560788
inq_last_6mths,-0.059568401,-0.09276064,-0.083181296,0.114475621,0.072951077,-0.117431081,-0.16195431,0.013537881,0.087202374,-0.042715477,0.388571971,0.085686302,-0.079858298,0.074578386,-0.064057937,0.005383772,0.348490517,-0.192584547,-0.460322156,-0.221887369,0.053580833,-0.423991893,0.062263414,-0.093254002,-0.013651875,0.080363274,-0.304684574,0.049348321,0.036211846,0.026466459,0.037899793,0.129078182,0.027183985,-0.011528931,0.015513212,0.000369552,-0.006427177,-0.010514629,0.003244792,0.012812078,0.002889074,-0.004220232,0.000223606,0.010131419
mths_since_last_delinq,-0.021645495,0.004521872,-0.201476929,0.36251752,-0.099233997,0.135158353,0.09766436,0.163839236,0.14846912,0.176581532,-0.110014368,-0.147502517,-0.024250989,0.017175686,0.030523161,-0.017162772,0.005772444,0.09058179,0.018191534,0.04649135,-0.057878161,-0.126387406,-0.0731735,0.105506761,-0.242825809,0.106310715,-0.060183136,-0.42926014,-0.045684954,0.262642297,0.538040455,-0.080419743,0.014055698,0.006324574,-0.002105907,0.00105418,0.009515579,0.00557161,0.005526186,0.008806,-0.039560497,-0.00118922,0.001570185,-0.007141041
revol_bal,-0.234913999,0.076774635,0.108856367,-0.082703374,0.047499597,0.121455264,0.15445339,-0.14335623,-0.022161748,0.143711951,-0.073013261,-0.070971936,-0.045453151,-0.033638865,0.011762598,-0.00472788,0.078349302,0.131309886,-0.311417684,0.002619469,0.089118595,-0.093085693,0.005537767,-0.247696149,0.052054628,0.164295206,0.495468254,-0.123786734,0.254445357,0.09762693,-0.021066463,0.169143653,-0.156958305,0.192553761,-0.348038415,0.01895693,-0.051175618,-0.20543883,0.054985525,-0.004973952,0.019662922,0.000309449,-0.014874873,0.007885452
revol_util,-0.110317673,0.053834167,0.183841787,0.090582031,-0.462070626,-0.022778649,0.148198361,-0.248110724,-0.011488475,0.070720148,0.139596506,-0.00758631,0.036549162,0.044348727,-0.026786489,0.029433118,0.084459964,0.021339011,0.019140739,0.02987435,0.103325421,0.057552962,-0.023715391,-0.034139098,0.048798868,0.186003985,-0.03646701,0.03723901,-0.159096567,-0.099002199,0.04707346,-0.01475732,0.002636429,0.019695645,-0.04586632,-0.025257889,-0.416464966,0.498298903,0.284610285,0.065318611,0.059504244,-0.008059597,0.013826211,-0.007778146
total_acc,-0.260318174,-0.070980488,-0.156543809,0.156707931,0.061664268,-0.183947032,-0.193640197,-0.063032891,-0.117780711,-0.052109843,-0.153583195,0.043332385,0.045216951,-0.010564562,0.029964564,0.016186402,-0.233226793,-0.057319505,0.066454866,-0.092466637,0.061074279,-0.108296837,-0.102441136,0.080395503,0.023624505,0.180749496,0.047183095,0.059167387,-0.078370991,0.058516755,-0.056554533,0.109650896,-0.04236632,-0.069390377,-0.355944562,0.061801951,0.329338789,0.381645451,-0.218664049,0.360646678,0.130741874,0.001977926,-0.017303997,-0.018137414
out_prncp_inv,-0.141930691,0.052882841,-0.135126536,-0.216457592,-0.171038848,0.191491643,0.158299477,0.294238766,-0.22396703,-0.008028316,0.151877878,0.025359434,0.006115139,0.012237074,-0.020382426,-0.047980819,-0.255856105,0.016858342,0.124960128,-0.036231276,-0.011498546,-0.257952187,0.364154408,-0.033774463,0.033267614,0.058544246,0.002070963,0.0144235,-0.040356912,-0.010384772,0.017806983,0.144134787,0.248051717,0.05858606,0.006609429,0.013692387,0.002304233,-0.006911348,6.47E-05,0.00082912,0.020489212,-0.530259211,-0.004686134,0.003694315
